# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Fri Sep  2 18:24:09 CEST 2016
# PARSEC isochrones, release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# Warning: you choose not to include the TP-AGB phase!
# Photometric system: Pan-STARRS1
# Using NBC version of bolometric corrections as in Chen et al. (2014), MNRAS, 444, 2525
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Kind of output: isochrone tables
#	Isochrone  Z = 0.00800	Y = 0.26300	[M/H] = -0.276	eta_R = 0.200	Age = 	1.0000e+04 yr
#      Z	log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    gP1     rP1     iP1     zP1     yP1     wP1	int_IMF	stage
	0.008000	4.0000	0.80000001	0.8000	1.5029	3.6343	2.3273	1.013	2.167	1.256	0.877	0.700	0.606	1.306	3.07187057	0
	0.008000	4.0000	0.81093502	0.8109	1.5110	3.6348	2.3271	0.993	2.141	1.233	0.856	0.679	0.586	1.283	3.07654142	0
	0.008000	4.0000	0.85000002	0.8500	1.5423	3.6365	2.3232	0.914	2.043	1.144	0.773	0.599	0.508	1.196	3.09222293	0
	0.008000	4.0000	0.85832775	0.8583	1.5482	3.6369	2.3230	0.900	2.024	1.128	0.758	0.585	0.493	1.180	3.09537673	0
	0.008000	4.0000	0.89999998	0.9000	1.5793	3.6385	2.3188	0.822	1.928	1.040	0.676	0.505	0.416	1.094	3.11026096	0
	0.008000	4.0000	0.93433505	0.9343	1.6031	3.6398	2.3164	0.762	1.854	0.973	0.613	0.445	0.357	1.028	3.12150335	0
	0.008000	4.0000	0.94999999	0.9500	1.6139	3.6403	2.3152	0.735	1.820	0.943	0.585	0.417	0.330	0.998	3.12635612	0
	0.008000	4.0000	0.96205819	0.9621	1.6216	3.6408	2.3147	0.716	1.796	0.922	0.565	0.398	0.311	0.977	3.12998128	0
	0.008000	4.0000	1.00000000	1.0000	1.6465	3.6421	2.3120	0.654	1.720	0.853	0.500	0.335	0.250	0.908	3.14080405	0
	0.008000	4.0000	1.04999995	1.0500	1.6783	3.6436	2.3074	0.574	1.624	0.766	0.417	0.255	0.171	0.822	3.15380883	0
	0.008000	4.0000	1.10000002	1.1000	1.7085	3.6451	2.3031	0.499	1.534	0.683	0.339	0.178	0.096	0.740	3.16554141	0
	0.008000	4.0000	1.14999998	1.1500	1.7365	3.6464	2.3000	0.429	1.449	0.606	0.266	0.107	0.027	0.663	3.17617631	0
	0.008000	4.0000	1.20000005	1.2000	1.7632	3.6477	2.2970	0.362	1.368	0.533	0.196	0.040	-0.039	0.591	3.18585706	0
	0.008000	4.0000	1.22456956	1.2246	1.7755	3.6484	2.2959	0.331	1.331	0.499	0.164	0.009	-0.069	0.557	3.19030213	0
	0.008000	4.0000	1.25000000	1.2500	1.7883	3.6490	2.2946	0.299	1.292	0.464	0.131	-0.024	-0.101	0.522	3.19470429	0
	0.008000	4.0000	1.29999995	1.3000	1.8137	3.6501	2.2907	0.236	1.217	0.395	0.065	-0.088	-0.164	0.454	3.20280719	0
	0.008000	4.0000	1.31595230	1.3160	1.8209	3.6505	2.2903	0.218	1.195	0.375	0.046	-0.106	-0.182	0.434	3.20524597	0
	0.008000	4.0000	1.35000002	1.3500	1.8376	3.6512	2.2874	0.176	1.147	0.330	0.003	-0.148	-0.223	0.389	3.21023273	0
	0.008000	4.0000	1.39999998	1.4000	1.8609	3.6522	2.2839	0.118	1.079	0.268	-0.057	-0.207	-0.281	0.327	3.21705914	0
	0.008000	4.0000	1.45000005	1.4500	1.8829	3.6531	2.2809	0.063	1.014	0.208	-0.114	-0.262	-0.335	0.268	3.22335362	0
	0.008000	4.0000	1.50000000	1.5000	1.9037	3.6541	2.2786	0.011	0.953	0.152	-0.168	-0.315	-0.387	0.212	3.22917390	0
	0.008000	4.0000	1.52087140	1.5209	1.9121	3.6544	2.2777	-0.010	0.928	0.130	-0.189	-0.336	-0.408	0.190	3.23147535	0
	0.008000	4.0000	1.54999995	1.5500	1.9238	3.6550	2.2763	-0.040	0.894	0.098	-0.220	-0.365	-0.437	0.158	3.23456979	0
	0.008000	4.0000	1.55444467	1.5544	1.9255	3.6550	2.2762	-0.044	0.889	0.094	-0.224	-0.370	-0.441	0.154	3.23503041	0
	0.008000	4.0000	1.60000002	1.6000	1.9448	3.6557	2.2722	-0.092	0.834	0.042	-0.274	-0.418	-0.489	0.103	3.23958373	0
	0.008000	4.0000	1.64999998	1.6500	1.9637	3.6566	2.2701	-0.139	0.778	-0.009	-0.323	-0.466	-0.536	0.052	3.24424219	0
	0.008000	4.0000	1.66771686	1.6677	1.9700	3.6569	2.2696	-0.155	0.760	-0.026	-0.339	-0.482	-0.551	0.035	3.24581313	0
	0.008000	4.0000	1.70000005	1.7000	1.9822	3.6573	2.2674	-0.185	0.725	-0.058	-0.370	-0.513	-0.581	0.003	3.24857616	0
	0.008000	4.0000	1.73130703	1.7313	1.9933	3.6578	2.2663	-0.213	0.693	-0.088	-0.399	-0.540	-0.609	-0.027	3.25113869	0
	0.008000	4.0000	1.75000000	1.7500	2.0006	3.6580	2.2646	-0.231	0.672	-0.107	-0.418	-0.559	-0.627	-0.046	3.25261688	0
	0.008000	4.0000	1.79999995	1.8000	2.0181	3.6587	2.2620	-0.275	0.622	-0.154	-0.463	-0.603	-0.670	-0.093	3.25639176	0
	0.008000	4.0000	1.85000002	1.8500	2.0350	3.6594	2.2596	-0.318	0.573	-0.199	-0.506	-0.646	-0.712	-0.138	3.25992513	0
